course,access,category,holes,city_state,st,county,lon,lat
Chase Hammond Golf Course,Public,Public,18,"Muskegon,MI",MI,Muskegon County,-86.216367,43.303197
Fruitport Country Club,Public,Public,18,"Muskegon,MI",MI,Muskegon County,-86.205818,43.137195
University Park Golf Course,Public,Public,9,"Muskegon,MI",MI,Muskegon County,-86.191312,43.245165
Westwind Golf Course,Public,Public,18,"Muskegon,MI",MI,Muskegon County,-86.182655,43.168801
Eagle Island Golf Club,Public,Public,9,"Muskegon,MI",MI,Muskegon County,-86.154121,43.23882
Mulberry Fore Golf Course,Public,Public,18,"Nashville,MI",MI,Barry County,-85.093585,42.6116
Cedar Glen Golf Club,Public,Public,18,"New Baltimore,MI",MI,Macomb County,-82.746342,42.705519
Willow Metro Park Golf Course,Municipal,Public,36,"New Boston,MI",MI,Wayne County,-83.363315,42.13856
Grand Beach Municipal Golf Course,Municipal,Public,18,"New Buffalo,MI",MI,Berrien County,-86.793513,41.772859
The Dunes Club,Semi Private,Public,18,"New Buffalo,MI",MI,Berrien County,-86.709744,41.818853
Whittaker Woods Golf Course,Public,Public,18,"New Buffalo,MI",MI,Berrien County,-86.75946,41.77013
Grand View Golf Course,Public,Public,18,"New Era,MI",MI,Oceana County,-86.387432,43.546937
Oak Ridge Golf Club,Public,Public,18,"New Haven,MI",MI,Macomb County,-82.758217,42.72032
Coyote Golf Club,Public,Public,18,"New Hudson,MI",MI,Oakland County,-83.614597,42.497513
Village Green Golf Club,Public,Public,18,"Newaygo,MI",MI,Newaygo County,-85.860541,43.408042
Newberry Country Club,Public,Public,18,"Newberry,MI",MI,Luce County,-85.509819,46.354389
Thorne Brothers At Lilac,Public,Public,18,"Newport,MI",MI,Monroe County,-83.282192,42.010279
Plym Park Golf Course,Municipal,Public,18,"Niles,MI",MI,Berrien County,-86.256732,41.841383
Signal Point Club,Private,Private,18,"Niles,MI",MI,Berrien County,-86.273531,41.811164
Washakie Golf & R.V. Resort,Public,Public,18,"North Branch,MI",MI,Lapeer County,-83.21978,43.207023
Northport Point Golf Club,Private,Private,9,"Northport,MI",MI,Leelanau County,-85.563768,45.150513
Meadowbrook Country Club,Private,Private,18,"Northville,MI",MI,Wayne County,-83.446713,42.438385
Downing Farms Golf Course,Public,Public,18,"Northville,MI",MI,Washtenaw County,-83.603813,42.418405
Salem Hills Golf Club Inc,Public,Public,18,"Northville,MI",MI,Washtenaw County,-83.592717,42.405299
Northville Hills Golf Club,Public,Public,18,"Northville,MI",MI,Wayne County,-83.494692,42.400573
Bushwood Golf Course,Public,Public,9,"Northville,MI",MI,Wayne County,-83.432874,42.405679
Oak Crest Golf Course,Municipal,Public,18,"Norway,MI",MI,Dickinson County,-87.905087,45.78936
Links of Novi,Public,Public,54,"Novi,MI",MI,Oakland County,-83.544285,42.464226
The Maples Club,Public,Public,9,"Novi,MI",MI,Oakland County,-83.458527,42.52616
Terra Verde Golf Course,Public,Public,18,"Nunica,MI",MI,Ottawa County,-86.078448,43.064791
Blackheath Golf Club,Public,Public,18,"Oakland Township,MI",MI,Oakland County,-83.136713,42.751728
Twin Lakes Golf Club,Public,Public,27,"Oakland,MI",MI,Oakland County,-83.129986,42.766284
The Myth Golf and Banquet,Public,Public,27,"Oakland,MI",MI,Oakland County,-83.159148,42.769248
College Field Golf Club,Public,Public,18,"Okemos,MI",MI,Ingham County,-84.461729,42.693992
Indian Hills Golf Course,Public,Public,9,"Okemos,MI",MI,Ingham County,-84.437061,42.72126
Olivet Country Club,Public,Public,18,"Olivet,MI",MI,Eaton County,-84.891629,42.468165
Black Lake Golf Club,Public,Public,18,"Onaway,MI",MI,Cheboygan County,-84.267625,45.416766
Stoney Links Inc,Public,Public,18,"Onaway,MI",MI,Presque Isle County,-84.193456,45.3574
The Heathlands,Public,Public,18,"Onekama,MI",MI,Manistee County,-86.203136,44.338863
Irish Hills Golf Course,Public,Public,9,"Onsted,MI",MI,Lenawee County,-84.155989,42.055704
Ontonagon Golf Course,Public,Public,9,"Ontonagon,MI",MI,Ontonagon County,-89.101879,46.85183
Orchard Lake Country Club,Private,Private,18,"Orchard Lake,MI",MI,Oakland County,-83.383307,42.586389
Pine Lake Country Club,Private,Private,18,"Orchard Lake,MI",MI,Oakland County,-83.349295,42.593718
The Oasis,Public,Public,9,"Orleans,MI",MI,Ionia County,-85.134854,43.10259
