organization,address,city,st,zip,office_type,longitude,latitude
Farm Credit Mid-America,3406 N State Road 9,Anderson,IN,46012,Branch,-85.670824,40.155922
Farm Credit Mid-America,15747 Neeley St,Evansville,IN,47225,Branch,-87.55109,38.12201
Farm Credit Mid-America,100 International Dr,Franklin,IN,46131,Branch,-86.07335,39.5176
Farm Credit Mid-America,226 Rouch Place,Rochester,IN,46975,Branch,-86.22149,41.0493
Farm Credit Mid-America,1050 Ballard Lane,Greencastle,IN,46135,Branch,-86.81785,39.64554
Farm Credit Mid-America,3399 N Finance Rd,Bloomington,IN,47404,Branch,-86.580375,39.206765
Farm Credit Mid-America,2901 Leonard Dr,Valparaiso,IN,46383,Branch,-87.0251,41.45822
Farm Credit Services of America,1525 Boyson Rd,Hiawatha,IA,52233,Branch,-91.69391,42.04379
Farm Credit Services of America,2328 Millennium Rd,Decorah,IA,52101,Branch,-91.727494,43.273353
Farm Credit Services of America,4056 4th Street SW,Mason City,IA,50401,Branch,-93.262547,43.148737
Farm Credit Services of America,1902 D Ave W,Oskaloosa,IA,52577,Branch,-92.66734,41.29945
Farm Credit Services of America,105 Theater Cir,Perry,IA,50220,Branch,-94.071095,41.835932
Farm Credit Services of America,700 Senate Ave,Red Oak,IA,51566,Branch,-95.224148,41.026832
Farm Credit Services of America,7149 Nordic Drive,Cedar Falls,IA,50613,Branch,-92.447575,42.472428
Farm Credit Services of America,1301 W Main,Manchester,IA,52057,Branch,-91.48039,42.484589
Farm Credit Services of America,1015 590th St,Storm Lake,IA,50588,Branch,-95.20752,42.66253
Farm Credit Services of America,345 Fair Meadow DR,Webster City,IA,50595,Branch,-93.81526,42.454355
Farm Credit Services of America,919 Bella Vista Drive,Carroll,IA,51401,Branch,-94.84788,42.06753
Farm Credit Services of America,1621 11th St,DeWitt,IA,52742,Branch,-90.55465,41.82469
Farm Credit Services of America,1812 Hawkeye Ave,Harlan,IA,51537,Branch,-95.3366,41.63947
Farm Credit Services of America,3000 Park Street,Sheldon,IA,51201,Branch,-95.8183,43.185326
Farm Credit Services of America,3808 Broadway Ave,Yankton,SD,57078,Branch,-97.395819,42.919802
Farm Credit Services of America,3675 450th Ave,Emmetsburg,IA,50536,Branch,-94.699446,43.116
Farm Credit Services of America,2216 James Ave,Mt Pleasant,IA,52641,Branch,-91.542391,40.983697
Farm Credit Services of America,203 W Merle Hibbs Blvd,Marshalltown,IA,50158,Branch,-92.9163,42.01359
Farm Credit Services of America,2125 W 20th ST S,Newton,IA,50208,Branch,-93.07951,41.679541
Farm Credit Services of America,5011 S Broadband Lane,Sioux Falls,SD,57108,Branch,-96.783692,43.499691
Farm Credit Services of America,4512 S Lakeport ST,Sioux City,IA,51106,Branch,-96.346564,42.43624
Frontier Farm Credit,1270 N 300th RD,Baldwin City,KS,66006,Branch,-95.2657,38.783093
American AgCredit,5634 10th Street,Great Bend,KS,67530,Branch,-98.8108,38.3621
Frontier Farm Credit,2219 Natchez,Hiawatha,KS,66434,Branch,-95.56307,39.84616
High Plains Farm Credit,605 Main St,Larned,KS,67550,Branch,-99.100174,38.179983
Frontier Farm Credit,2005 Harding DR,Parsons,KS,67357,Branch,-95.2664,37.3665
High Plains Farm Credit,290 NE State Rd 61,Pratt,KS,67124,Branch,-98.715548,37.65273
American AgCredit,706 S. Main Street,Pratt,KS,67871,Branch,-98.739338,37.639314
Frontier Farm Credit,1808 Road G,Emporia,KS,66801,Branch,-96.24328,38.42012
American AgCredit,4105 N Ridge RD,Wichita,KS,67205,Branch,-97.427342,37.75838
American AgCredit,1501 Soule Street,Dodge City,KS,67801,Branch,-100.033552,37.773181
High Plains Farm Credit,408 W. Frontview St.,Dodge City,KS,67801,Branch,-100.02243,37.78077
Frontier Farm Credit,835 Pony Express Highway,Marysville,KS,66508,Branch,-96.670025,39.841664
Frontier Farm Credit,2009 Vanesta Place,Manhattan,KS,66503,Branch,-96.63668,39.20354
American AgCredit,302 Fleming Street,Garden City,KS,67846,Branch,-100.85381,37.965613
High Plains Farm Credit,1100 E. 43rd St.,Hays,KS,67601,Branch,-99.315397,38.901265
American AgCredit,925 W. Magnolia,Salina,KS,67401,Branch,-97.622871,38.797494
American AgCredit,2451 N. Kansas,Liberal,KS,67901,Branch,-100.92131,37.067
High Plains Farm Credit,101 Eagle Drive,Ness City,KS,67560,Branch,-99.891779,38.452829
American AgCredit,1422 South Main,Scott City,KS,67871,Branch,-100.90626,38.47016
American AgCredit,1902 E 23rd St,Hutchinson,KS,67502,Branch,-97.88607,38.0801
High Plains Farm Credit,477 F St,Phillipsburg,KS,67661,Branch,-99.322152,39.757289
Farm Credit Mid-America,10020 Nashville Rd,Bowling Green,KY,42101,Branch,-86.52942,36.87273
